campaign,ad_set,ad_name,creative_version,format,primary_text,headline,description,cta,website_url,url_parameters,creative_feeds_4x5,creative_stories_reels,creative_right_column_1x1,meta_tracking_number_on_lp
Credo Legal — Competitive v1 (Meta),AS_A3_three-things,A3_three-things-v4,Designer set 2,Single image,"Three things collectors hope you don't know:

1. You can make them validate the debt in writing
2. Debt buyers often can't prove they even own it
3. Balances are frequently inflated, so you may owe far less than they claim

Knowing this changes how you respond.

Attorney Advertising. Credo Legal Services, P.C., 1 Liberty Street, Suite 4010, New York, NY 10006. (212) 461-4026. Prior results do not guarantee a similar outcome.","Know Your Options, Free",Free case review. No cost to learn where you stand.,Book Now,https://start.credolegal.com/debt-harassment-stop-calls,utm_source=meta&utm_medium=paid_social&utm_campaign=credo_meta_competitive_v1&utm_content=A3_three-things-v4,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/static/v4/S4_quiz_v4_4x5.jpg,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/static/v4/S4_quiz_v4_4x5.jpg,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/static/v4/S4_quiz_v4_1x1.jpg,(612) 256-8820
Credo Legal — Competitive v1 (Meta),AS_A3_three-things,A3_three-things-video,Video,Video,"Three things collectors hope you don't know:

1. You can make them validate the debt in writing
2. Debt buyers often can't prove they even own it
3. Balances are frequently inflated, so you may owe far less than they claim

Knowing this changes how you respond.

Attorney Advertising. Credo Legal Services, P.C., 1 Liberty Street, Suite 4010, New York, NY 10006. (212) 461-4026. Image is a dramatization. Prior results do not guarantee a similar outcome.","Know Your Options, Free",Free case review. No cost to learn where you stand.,Book Now,https://start.credolegal.com/debt-harassment-stop-calls,utm_source=meta&utm_medium=paid_social&utm_campaign=credo_meta_competitive_v1&utm_content=A3_three-things-video,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/video/V3_do-they-own-it_4x5.mp4,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/video/V3_do-they-own-it_4x5.mp4,,(612) 256-8820
Credo Legal — Competitive v1 (Meta),AS_A4_before-after,A4_before-after-v3,Designer set 1,Single image,"They called for years. They never proved the debt was mine.

Before: calls every week, a balance that kept growing, and no proof it was even yours.

After: they have to validate it in writing, attorneys handle the response, and you pay one flat monthly fee.

Free case review.

Attorney Advertising. Credo Legal Services, P.C., 1 Liberty Street, Suite 4010, New York, NY 10006. (212) 461-4026. Prior results do not guarantee a similar outcome.",You Don't Have to Face Them Alone,Flat monthly fee. No contingency.,Book Now,https://start.credolegal.com/credit-card-debt-negotiation,utm_source=meta&utm_medium=paid_social&utm_campaign=credo_meta_competitive_v1&utm_content=A4_before-after-v3,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/static/v3/S3_before-after_v3_4x5.jpg,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/static/v3/S3_before-after_v3_4x5.jpg,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/static/v3/S3_before-after_v3_1x1.jpg,(407) 624-3722
Credo Legal — Competitive v1 (Meta),AS_A4_before-after,A4_before-after-light,Light style,Single image,"They called for years. They never proved the debt was mine.

Before: calls every week, a balance that kept growing, and no proof it was even yours.

After: they have to validate it in writing, attorneys handle the response, and you pay one flat monthly fee.

Free case review.

Attorney Advertising. Credo Legal Services, P.C., 1 Liberty Street, Suite 4010, New York, NY 10006. (212) 461-4026. Prior results do not guarantee a similar outcome.",You Don't Have to Face Them Alone,Flat monthly fee. No contingency.,Book Now,https://start.credolegal.com/credit-card-debt-negotiation,utm_source=meta&utm_medium=paid_social&utm_campaign=credo_meta_competitive_v1&utm_content=A4_before-after-light,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/static/light/S3_before-after_light_4x5.jpg,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/static/light/S3_before-after_light_4x5.jpg,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/static/light/S3_before-after_light_1x1.jpg,(407) 624-3722
Credo Legal — Competitive v1 (Meta),AS_A4_before-after,A4_before-after-v4,Designer set 2,Single image,"They called for years. They never proved the debt was mine.

Before: calls every week, a balance that kept growing, and no proof it was even yours.

After: they have to validate it in writing, attorneys handle the response, and you pay one flat monthly fee.

Free case review.

Attorney Advertising. Credo Legal Services, P.C., 1 Liberty Street, Suite 4010, New York, NY 10006. (212) 461-4026. Image is a dramatization. Prior results do not guarantee a similar outcome.",You Don't Have to Face Them Alone,Flat monthly fee. No contingency.,Book Now,https://start.credolegal.com/credit-card-debt-negotiation,utm_source=meta&utm_medium=paid_social&utm_campaign=credo_meta_competitive_v1&utm_content=A4_before-after-v4,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/static/v4/S3_before-after_v4_4x5.jpg,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/static/v4/S3_before-after_v4_4x5.jpg,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/static/v4/S3_before-after_v4_1x1.jpg,(407) 624-3722
Credo Legal — Competitive v1 (Meta),AS_A4_before-after,A4_before-after-video,Video,Video,"They called for years. They never proved the debt was mine.

Before: calls every week, a balance that kept growing, and no proof it was even yours.

After: they have to validate it in writing, attorneys handle the response, and you pay one flat monthly fee.

Free case review.

Attorney Advertising. Credo Legal Services, P.C., 1 Liberty Street, Suite 4010, New York, NY 10006. (212) 461-4026. Image is a dramatization. Prior results do not guarantee a similar outcome.",You Don't Have to Face Them Alone,Flat monthly fee. No contingency.,Book Now,https://start.credolegal.com/credit-card-debt-negotiation,utm_source=meta&utm_medium=paid_social&utm_campaign=credo_meta_competitive_v1&utm_content=A4_before-after-video,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/video/V6_the-calls_4x5.mp4,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/video/V6_the-calls_4x5.mp4,,(407) 624-3722
Credo Legal — Competitive v1 (Meta),AS_A5_medical,A5_medical-v3,Designer set 1,Single image,"A collector says you owe a medical bill. Can they prove it?

Medical billing is full of coding errors and duplicate charges, and a collector has to validate the amount if you ask. Our attorneys review it before you pay anything.

Free case review.

Attorney Advertising. Credo Legal Services, P.C., 1 Liberty Street, Suite 4010, New York, NY 10006. (212) 461-4026. Prior results do not guarantee a similar outcome.",Can They Prove the Amount?,Free review of your medical debt.,Book Now,https://start.credolegal.com/medical-debt-bills-errors,utm_source=meta&utm_medium=paid_social&utm_campaign=credo_meta_competitive_v1&utm_content=A5_medical-v3,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/static/v3/S5_medical_v3_4x5.jpg,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/static/v3/S5_medical_v3_4x5.jpg,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/static/v3/S5_medical_v3_1x1.jpg,(801) 386-9050
Credo Legal — Competitive v1 (Meta),AS_A5_medical,A5_medical-light,Light style,Single image,"A collector says you owe a medical bill. Can they prove it?

Medical billing is full of coding errors and duplicate charges, and a collector has to validate the amount if you ask. Our attorneys review it before you pay anything.

Free case review.

Attorney Advertising. Credo Legal Services, P.C., 1 Liberty Street, Suite 4010, New York, NY 10006. (212) 461-4026. Prior results do not guarantee a similar outcome.",Can They Prove the Amount?,Free review of your medical debt.,Book Now,https://start.credolegal.com/medical-debt-bills-errors,utm_source=meta&utm_medium=paid_social&utm_campaign=credo_meta_competitive_v1&utm_content=A5_medical-light,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/static/light/S5_medical_light_4x5.jpg,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/static/light/S5_medical_light_4x5.jpg,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/static/light/S5_medical_light_1x1.jpg,(801) 386-9050
Credo Legal — Competitive v1 (Meta),AS_A5_medical,A5_medical-v4,Designer set 2,Single image,"A collector says you owe a medical bill. Can they prove it?

Medical billing is full of coding errors and duplicate charges, and a collector has to validate the amount if you ask. Our attorneys review it before you pay anything.

Free case review.

Attorney Advertising. Credo Legal Services, P.C., 1 Liberty Street, Suite 4010, New York, NY 10006. (212) 461-4026. Image is a dramatization. Prior results do not guarantee a similar outcome.",Can They Prove the Amount?,Free review of your medical debt.,Book Now,https://start.credolegal.com/medical-debt-bills-errors,utm_source=meta&utm_medium=paid_social&utm_campaign=credo_meta_competitive_v1&utm_content=A5_medical-v4,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/static/v4/S5_medical_v4_4x5.jpg,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/static/v4/S5_medical_v4_4x5.jpg,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/static/v4/S5_medical_v4_1x1.jpg,(801) 386-9050
Credo Legal — Competitive v1 (Meta),AS_A5_medical,A5_medical-video,Video,Video,"A collector says you owe a medical bill. Can they prove it?

Medical billing is full of coding errors and duplicate charges, and a collector has to validate the amount if you ask. Our attorneys review it before you pay anything.

Free case review.

Attorney Advertising. Credo Legal Services, P.C., 1 Liberty Street, Suite 4010, New York, NY 10006. (212) 461-4026. Image is a dramatization. Prior results do not guarantee a similar outcome.",Can They Prove the Amount?,Free review of your medical debt.,Book Now,https://start.credolegal.com/medical-debt-bills-errors,utm_source=meta&utm_medium=paid_social&utm_campaign=credo_meta_competitive_v1&utm_content=A5_medical-video,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/video/V5_medical_4x5.mp4,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/video/V5_medical_4x5.mp4,,(801) 386-9050
Credo Legal — Competitive v1 (Meta),AS_A6_in-writing,A6_in-writing-v3,Designer set 1,Single image,"Make them prove it.

A collector has to validate the debt in writing. Many debt buyers can't.

Free case review. Flat monthly fee. Attorneys licensed in New York.

Attorney Advertising. Credo Legal Services, P.C., 1 Liberty Street, Suite 4010, New York, NY 10006. (212) 461-4026. Image is a dramatization. Prior results do not guarantee a similar outcome.",Make Collectors Prove Before You Pay,Free case review. Flat monthly fee.,Book Now,https://start.credolegal.com/debt-harassment-stop-calls,utm_source=meta&utm_medium=paid_social&utm_campaign=credo_meta_competitive_v1&utm_content=A6_in-writing-v3,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/static/v3/S6_in-writing_v3_4x5.jpg,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/static/v3/S6_in-writing_v3_4x5.jpg,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/static/v3/S6_in-writing_v3_1x1.jpg,(612) 256-8820
Credo Legal — Competitive v1 (Meta),AS_A6_in-writing,A6_in-writing-light,Light style,Single image,"Make them prove it.

A collector has to validate the debt in writing. Many debt buyers can't.

Free case review. Flat monthly fee. Attorneys licensed in New York.

Attorney Advertising. Credo Legal Services, P.C., 1 Liberty Street, Suite 4010, New York, NY 10006. (212) 461-4026. Prior results do not guarantee a similar outcome.",Make Collectors Prove Before You Pay,Free case review. Flat monthly fee.,Book Now,https://start.credolegal.com/debt-harassment-stop-calls,utm_source=meta&utm_medium=paid_social&utm_campaign=credo_meta_competitive_v1&utm_content=A6_in-writing-light,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/static/light/S6_in-writing_light_4x5.jpg,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/static/light/S6_in-writing_light_4x5.jpg,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/static/light/S6_in-writing_light_1x1.jpg,(612) 256-8820
Credo Legal — Competitive v1 (Meta),AS_A6_in-writing,A6_in-writing-v4,Designer set 2,Single image,"Make them prove it.

A collector has to validate the debt in writing. Many debt buyers can't.

Free case review. Flat monthly fee. Attorneys licensed in New York.

Attorney Advertising. Credo Legal Services, P.C., 1 Liberty Street, Suite 4010, New York, NY 10006. (212) 461-4026. Prior results do not guarantee a similar outcome.",Make Collectors Prove Before You Pay,Free case review. Flat monthly fee.,Book Now,https://start.credolegal.com/debt-harassment-stop-calls,utm_source=meta&utm_medium=paid_social&utm_campaign=credo_meta_competitive_v1&utm_content=A6_in-writing-v4,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/static/v4/S6_in-writing_v4_4x5.jpg,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/static/v4/S6_in-writing_v4_4x5.jpg,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/static/v4/S6_in-writing_v4_1x1.jpg,(612) 256-8820
Credo Legal — Competitive v1 (Meta),AS_A6_in-writing,A6_in-writing-video,Video,Video,"Make them prove it.

A collector has to validate the debt in writing. Many debt buyers can't.

Free case review. Flat monthly fee. Attorneys licensed in New York.

Attorney Advertising. Credo Legal Services, P.C., 1 Liberty Street, Suite 4010, New York, NY 10006. (212) 461-4026. Image is a dramatization. Prior results do not guarantee a similar outcome.",Make Collectors Prove Before You Pay,Free case review. Flat monthly fee.,Book Now,https://start.credolegal.com/debt-harassment-stop-calls,utm_source=meta&utm_medium=paid_social&utm_campaign=credo_meta_competitive_v1&utm_content=A6_in-writing-video,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/video/V4_in-writing_4x5.mp4,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/video/V4_in-writing_4x5.mp4,,(612) 256-8820
