ad_name,ad_group,creative_version,creatives,headline,description,cta,primary_text,link
A3_three-things-v4,A3_three-things,Designer set 2 static,S4_quiz_v4_1x1.jpg | S4_quiz_v4_4x5.jpg | S4_quiz_v4_9x16.jpg | S4_quiz_v4_16x9.jpg,"Know Your Options, Free",Free case review. No cost to learn where you stand.,Book Now,"Three things collectors hope you don't know:

1. You can make them validate the debt in writing
2. Debt buyers often can't prove they even own it
3. Balances are frequently inflated, so you may owe far less than they claim

Knowing this changes how you respond.

Attorney Advertising. Credo Legal Services, P.C., 1 Liberty Street, Suite 4010, New York, NY 10006. (212) 461-4026. Prior results do not guarantee a similar outcome.",https://start.credolegal.com/debt-harassment-stop-calls?utm_source=meta&utm_medium=paid_social&utm_campaign=credo_meta_competitive_v1&utm_content=A3_three-things-v4
A3_three-things-video,A3_three-things,Video,V3_do-they-own-it_9x16.mp4 | V3_do-they-own-it_4x5.mp4,"Know Your Options, Free",Free case review. No cost to learn where you stand.,Book Now,"Three things collectors hope you don't know:

1. You can make them validate the debt in writing
2. Debt buyers often can't prove they even own it
3. Balances are frequently inflated, so you may owe far less than they claim

Knowing this changes how you respond.

Attorney Advertising. Credo Legal Services, P.C., 1 Liberty Street, Suite 4010, New York, NY 10006. (212) 461-4026. Image is a dramatization. Prior results do not guarantee a similar outcome.",https://start.credolegal.com/debt-harassment-stop-calls?utm_source=meta&utm_medium=paid_social&utm_campaign=credo_meta_competitive_v1&utm_content=A3_three-things-video
A4_before-after-v3,A4_before-after,Designer set 1 static,S3_before-after_v3_1x1.jpg | S3_before-after_v3_4x5.jpg | S3_before-after_v3_9x16.jpg | S3_before-after_v3_16x9.jpg,You Don't Have to Face Them Alone,Flat monthly fee. No contingency.,Book Now,"They called for years. They never proved the debt was mine.

Before: calls every week, a balance that kept growing, and no proof it was even yours.

After: they have to validate it in writing, attorneys handle the response, and you pay one flat monthly fee.

Free case review.

Attorney Advertising. Credo Legal Services, P.C., 1 Liberty Street, Suite 4010, New York, NY 10006. (212) 461-4026. Prior results do not guarantee a similar outcome.",https://start.credolegal.com/credit-card-debt-negotiation?utm_source=meta&utm_medium=paid_social&utm_campaign=credo_meta_competitive_v1&utm_content=A4_before-after-v3
A4_before-after-light,A4_before-after,Set 1 light-style static,S3_before-after_light_1x1.jpg | S3_before-after_light_4x5.jpg | S3_before-after_light_9x16.jpg | S3_before-after_light_16x9.jpg,You Don't Have to Face Them Alone,Flat monthly fee. No contingency.,Book Now,"They called for years. They never proved the debt was mine.

Before: calls every week, a balance that kept growing, and no proof it was even yours.

After: they have to validate it in writing, attorneys handle the response, and you pay one flat monthly fee.

Free case review.

Attorney Advertising. Credo Legal Services, P.C., 1 Liberty Street, Suite 4010, New York, NY 10006. (212) 461-4026. Prior results do not guarantee a similar outcome.",https://start.credolegal.com/credit-card-debt-negotiation?utm_source=meta&utm_medium=paid_social&utm_campaign=credo_meta_competitive_v1&utm_content=A4_before-after-light
A4_before-after-v4,A4_before-after,Designer set 2 static,S3_before-after_v4_1x1.jpg | S3_before-after_v4_4x5.jpg | S3_before-after_v4_9x16.jpg | S3_before-after_v4_16x9.jpg,You Don't Have to Face Them Alone,Flat monthly fee. No contingency.,Book Now,"They called for years. They never proved the debt was mine.

Before: calls every week, a balance that kept growing, and no proof it was even yours.

After: they have to validate it in writing, attorneys handle the response, and you pay one flat monthly fee.

Free case review.

Attorney Advertising. Credo Legal Services, P.C., 1 Liberty Street, Suite 4010, New York, NY 10006. (212) 461-4026. Image is a dramatization. Prior results do not guarantee a similar outcome.",https://start.credolegal.com/credit-card-debt-negotiation?utm_source=meta&utm_medium=paid_social&utm_campaign=credo_meta_competitive_v1&utm_content=A4_before-after-v4
A4_before-after-video,A4_before-after,Video,V6_the-calls_9x16.mp4 | V6_the-calls_4x5.mp4,You Don't Have to Face Them Alone,Flat monthly fee. No contingency.,Book Now,"They called for years. They never proved the debt was mine.

Before: calls every week, a balance that kept growing, and no proof it was even yours.

After: they have to validate it in writing, attorneys handle the response, and you pay one flat monthly fee.

Free case review.

Attorney Advertising. Credo Legal Services, P.C., 1 Liberty Street, Suite 4010, New York, NY 10006. (212) 461-4026. Image is a dramatization. Prior results do not guarantee a similar outcome.",https://start.credolegal.com/credit-card-debt-negotiation?utm_source=meta&utm_medium=paid_social&utm_campaign=credo_meta_competitive_v1&utm_content=A4_before-after-video
A5_medical-v3,A5_medical,Designer set 1 static,S5_medical_v3_1x1.jpg | S5_medical_v3_4x5.jpg | S5_medical_v3_9x16.jpg | S5_medical_v3_16x9.jpg,Can They Prove the Amount?,Free review of your medical debt.,Book Now,"A collector says you owe a medical bill. Can they prove it?

Medical billing is full of coding errors and duplicate charges, and a collector has to validate the amount if you ask. Our attorneys review it before you pay anything.

Free case review.

Attorney Advertising. Credo Legal Services, P.C., 1 Liberty Street, Suite 4010, New York, NY 10006. (212) 461-4026. Prior results do not guarantee a similar outcome.",https://start.credolegal.com/medical-debt-bills-errors?utm_source=meta&utm_medium=paid_social&utm_campaign=credo_meta_competitive_v1&utm_content=A5_medical-v3
A5_medical-light,A5_medical,Set 1 light-style static,S5_medical_light_1x1.jpg | S5_medical_light_4x5.jpg | S5_medical_light_9x16.jpg | S5_medical_light_16x9.jpg,Can They Prove the Amount?,Free review of your medical debt.,Book Now,"A collector says you owe a medical bill. Can they prove it?

Medical billing is full of coding errors and duplicate charges, and a collector has to validate the amount if you ask. Our attorneys review it before you pay anything.

Free case review.

Attorney Advertising. Credo Legal Services, P.C., 1 Liberty Street, Suite 4010, New York, NY 10006. (212) 461-4026. Prior results do not guarantee a similar outcome.",https://start.credolegal.com/medical-debt-bills-errors?utm_source=meta&utm_medium=paid_social&utm_campaign=credo_meta_competitive_v1&utm_content=A5_medical-light
A5_medical-v4,A5_medical,Designer set 2 static,S5_medical_v4_1x1.jpg | S5_medical_v4_4x5.jpg | S5_medical_v4_9x16.jpg | S5_medical_v4_16x9.jpg,Can They Prove the Amount?,Free review of your medical debt.,Book Now,"A collector says you owe a medical bill. Can they prove it?

Medical billing is full of coding errors and duplicate charges, and a collector has to validate the amount if you ask. Our attorneys review it before you pay anything.

Free case review.

Attorney Advertising. Credo Legal Services, P.C., 1 Liberty Street, Suite 4010, New York, NY 10006. (212) 461-4026. Image is a dramatization. Prior results do not guarantee a similar outcome.",https://start.credolegal.com/medical-debt-bills-errors?utm_source=meta&utm_medium=paid_social&utm_campaign=credo_meta_competitive_v1&utm_content=A5_medical-v4
A5_medical-video,A5_medical,Video,V5_medical_9x16.mp4 | V5_medical_4x5.mp4,Can They Prove the Amount?,Free review of your medical debt.,Book Now,"A collector says you owe a medical bill. Can they prove it?

Medical billing is full of coding errors and duplicate charges, and a collector has to validate the amount if you ask. Our attorneys review it before you pay anything.

Free case review.

Attorney Advertising. Credo Legal Services, P.C., 1 Liberty Street, Suite 4010, New York, NY 10006. (212) 461-4026. Image is a dramatization. Prior results do not guarantee a similar outcome.",https://start.credolegal.com/medical-debt-bills-errors?utm_source=meta&utm_medium=paid_social&utm_campaign=credo_meta_competitive_v1&utm_content=A5_medical-video
A6_in-writing-v3,A6_in-writing,Designer set 1 static,S6_in-writing_v3_1x1.jpg | S6_in-writing_v3_4x5.jpg | S6_in-writing_v3_9x16.jpg | S6_in-writing_v3_16x9.jpg,Make Collectors Prove Before You Pay,Free case review. Flat monthly fee.,Book Now,"Make them prove it.

A collector has to validate the debt in writing. Many debt buyers can't.

Free case review. Flat monthly fee. Attorneys licensed in New York.

Attorney Advertising. Credo Legal Services, P.C., 1 Liberty Street, Suite 4010, New York, NY 10006. (212) 461-4026. Image is a dramatization. Prior results do not guarantee a similar outcome.",https://start.credolegal.com/debt-harassment-stop-calls?utm_source=meta&utm_medium=paid_social&utm_campaign=credo_meta_competitive_v1&utm_content=A6_in-writing-v3
A6_in-writing-light,A6_in-writing,Set 1 light-style static,S6_in-writing_light_1x1.jpg | S6_in-writing_light_4x5.jpg | S6_in-writing_light_9x16.jpg | S6_in-writing_light_16x9.jpg,Make Collectors Prove Before You Pay,Free case review. Flat monthly fee.,Book Now,"Make them prove it.

A collector has to validate the debt in writing. Many debt buyers can't.

Free case review. Flat monthly fee. Attorneys licensed in New York.

Attorney Advertising. Credo Legal Services, P.C., 1 Liberty Street, Suite 4010, New York, NY 10006. (212) 461-4026. Prior results do not guarantee a similar outcome.",https://start.credolegal.com/debt-harassment-stop-calls?utm_source=meta&utm_medium=paid_social&utm_campaign=credo_meta_competitive_v1&utm_content=A6_in-writing-light
A6_in-writing-v4,A6_in-writing,Designer set 2 static,S6_in-writing_v4_1x1.jpg | S6_in-writing_v4_4x5.jpg | S6_in-writing_v4_9x16.jpg | S6_in-writing_v4_16x9.jpg,Make Collectors Prove Before You Pay,Free case review. Flat monthly fee.,Book Now,"Make them prove it.

A collector has to validate the debt in writing. Many debt buyers can't.

Free case review. Flat monthly fee. Attorneys licensed in New York.

Attorney Advertising. Credo Legal Services, P.C., 1 Liberty Street, Suite 4010, New York, NY 10006. (212) 461-4026. Prior results do not guarantee a similar outcome.",https://start.credolegal.com/debt-harassment-stop-calls?utm_source=meta&utm_medium=paid_social&utm_campaign=credo_meta_competitive_v1&utm_content=A6_in-writing-v4
A6_in-writing-video,A6_in-writing,Video,V4_in-writing_9x16.mp4 | V4_in-writing_4x5.mp4,Make Collectors Prove Before You Pay,Free case review. Flat monthly fee.,Book Now,"Make them prove it.

A collector has to validate the debt in writing. Many debt buyers can't.

Free case review. Flat monthly fee. Attorneys licensed in New York.

Attorney Advertising. Credo Legal Services, P.C., 1 Liberty Street, Suite 4010, New York, NY 10006. (212) 461-4026. Image is a dramatization. Prior results do not guarantee a similar outcome.",https://start.credolegal.com/debt-harassment-stop-calls?utm_source=meta&utm_medium=paid_social&utm_campaign=credo_meta_competitive_v1&utm_content=A6_in-writing-video
